"spp","sp","Grid","Platform","Records"
"M_nivalis","M. nivalis","UH26","seqRec",0
"M_nivalis","M. nivalis","UH26","dailyRec",0
"S_scrofa","S. scrofa","UH26","GBIF",0
"S_scrofa","S. scrofa","UH26","NoVal",2
"S_scrofa","S. scrofa","UH26","seqRec",1
"S_scrofa","S. scrofa","UH26","dailyRec",1
"C_elaphus","C. elaphus","UH26","GBIF",0
"C_elaphus","C. elaphus","UH26","NoVal",0
"C_elaphus","C. elaphus","UH26","seqRec",3
"C_elaphus","C. elaphus","UH26","dailyRec",2
"E_europaeus","E. europaeus","UH26","GBIF",0
"E_europaeus","E. europaeus","UH26","NoVal",0
"E_europaeus","E. europaeus","UH26","seqRec",0
"E_europaeus","E. europaeus","UH26","dailyRec",0
"M_putorius","M. putorius","UH26","GBIF",0
"M_putorius","M. putorius","UH26","NoVal",0
"M_putorius","M. putorius","UH26","seqRec",0
"M_putorius","M. putorius","UH26","dailyRec",0
"C_pynernaica","C. pynernaica","UH26","GBIF",0
"C_pynernaica","C. pynernaica","UH26","NoVal",0
"C_pynernaica","C. pynernaica","UH26","seqRec",0
"C_pynernaica","C. pynernaica","UH26","dailyRec",0
"S_vulgaris","S. vulgaris","UH26","GBIF",0
"S_vulgaris","S. vulgaris","UH26","NoVal",0
"S_vulgaris","S. vulgaris","UH26","seqRec",0
"S_vulgaris","S. vulgaris","UH26","dailyRec",0
"E_quercinus","E. quercinus","UH26","GBIF",0
"E_quercinus","E. quercinus","UH26","NoVal",0
"E_quercinus","E. quercinus","UH26","seqRec",0
"E_quercinus","E. quercinus","UH26","dailyRec",0
"O_cuniculus","O. cuniculus","UH30","GBIF",1
"O_cuniculus","O. cuniculus","UH30","NoVal",1
"O_cuniculus","O. cuniculus","UH30","seqRec",0
"O_cuniculus","O. cuniculus","UH30","dailyRec",0
"L_granatensis","L. granatensis","UH30","GBIF",1
"L_granatensis","L. granatensis","UH30","NoVal",1
"L_granatensis","L. granatensis","UH30","seqRec",2
"L_granatensis","L. granatensis","UH30","dailyRec",2
"G_genetta","G. genetta","UH30","GBIF",1
"G_genetta","G. genetta","UH30","NoVal",0
"G_genetta","G. genetta","UH30","seqRec",7
"G_genetta","G. genetta","UH30","dailyRec",5
"H_icheneumon","H. icheneumon","UH30","GBIF",1
"H_icheneumon","H. icheneumon","UH30","NoVal",0
"H_icheneumon","H. icheneumon","UH30","seqRec",1
"H_icheneumon","H. icheneumon","UH30","dailyRec",1
"V_vulpes","V. vulpes","UH30","GBIF",4
"V_vulpes","V. vulpes","UH30","NoVal",9
"V_vulpes","V. vulpes","UH30","seqRec",2
"V_vulpes","V. vulpes","UH30","dailyRec",2
"L_lutra","L. lutra","UH30","GBIF",19
"L_lutra","L. lutra","UH30","NoVal",1
"L_lutra","L. lutra","UH30","seqRec",0
"L_lutra","L. lutra","UH30","dailyRec",0
"M_foina","M. foina","UH30","GBIF",0
"M_foina","M. foina","UH30","NoVal",0
"M_foina","M. foina","UH30","seqRec",3
"M_foina","M. foina","UH30","dailyRec",3
"M_meles","M. meles","UH30","GBIF",0
"M_meles","M. meles","UH30","NoVal",2
"M_meles","M. meles","UH30","seqRec",3
"M_meles","M. meles","UH30","dailyRec",3
"M_nivalis","M. nivalis","UH30","GBIF",1
"M_nivalis","M. nivalis","UH30","NoVal",1
"M_nivalis","M. nivalis","UH30","seqRec",0
"M_nivalis","M. nivalis","UH30","dailyRec",0
"S_scrofa","S. scrofa","UH30","GBIF",5
"S_scrofa","S. scrofa","UH30","NoVal",4
"S_scrofa","S. scrofa","UH30","seqRec",6
"S_scrofa","S. scrofa","UH30","dailyRec",3
"C_elaphus","C. elaphus","UH30","GBIF",0
"C_elaphus","C. elaphus","UH30","NoVal",7
"C_elaphus","C. elaphus","UH30","seqRec",0
"C_elaphus","C. elaphus","UH30","dailyRec",0
"E_europaeus","E. europaeus","UH30","GBIF",0
"E_europaeus","E. europaeus","UH30","NoVal",0
"E_europaeus","E. europaeus","UH30","seqRec",0
"E_europaeus","E. europaeus","UH30","dailyRec",0
"M_putorius","M. putorius","UH30","GBIF",0
"M_putorius","M. putorius","UH30","NoVal",0
"M_putorius","M. putorius","UH30","seqRec",0
"M_putorius","M. putorius","UH30","dailyRec",0
"C_pynernaica","C. pynernaica","UH30","GBIF",0
"C_pynernaica","C. pynernaica","UH30","NoVal",0
"C_pynernaica","C. pynernaica","UH30","seqRec",0
"C_pynernaica","C. pynernaica","UH30","dailyRec",0
"S_vulgaris","S. vulgaris","UH30","GBIF",0
"S_vulgaris","S. vulgaris","UH30","NoVal",0
"S_vulgaris","S. vulgaris","UH30","seqRec",0
"S_vulgaris","S. vulgaris","UH30","dailyRec",0
"E_quercinus","E. quercinus","UH30","GBIF",0
"E_quercinus","E. quercinus","UH30","NoVal",1
"E_quercinus","E. quercinus","UH30","seqRec",0
"E_quercinus","E. quercinus","UH30","dailyRec",0
"O_cuniculus","O. cuniculus","UH40","GBIF",1
"O_cuniculus","O. cuniculus","UH40","NoVal",6
"O_cuniculus","O. cuniculus","UH40","seqRec",23
"O_cuniculus","O. cuniculus","UH40","dailyRec",16
"L_granatensis","L. granatensis","UH40","GBIF",0
"L_granatensis","L. granatensis","UH40","NoVal",3
"L_granatensis","L. granatensis","UH40","seqRec",1
"L_granatensis","L. granatensis","UH40","dailyRec",1
"G_genetta","G. genetta","UH40","GBIF",3
"G_genetta","G. genetta","UH40","NoVal",1
"G_genetta","G. genetta","UH40","seqRec",2
"G_genetta","G. genetta","UH40","dailyRec",1
"H_icheneumon","H. icheneumon","UH40","GBIF",2
"H_icheneumon","H. icheneumon","UH40","NoVal",0
"H_icheneumon","H. icheneumon","UH40","seqRec",0
"H_icheneumon","H. icheneumon","UH40","dailyRec",0
"V_vulpes","V. vulpes","UH40","GBIF",1
"V_vulpes","V. vulpes","UH40","NoVal",7
"V_vulpes","V. vulpes","UH40","seqRec",27
"V_vulpes","V. vulpes","UH40","dailyRec",21
"L_lutra","L. lutra","UH40","GBIF",5
"L_lutra","L. lutra","UH40","NoVal",0
"L_lutra","L. lutra","UH40","seqRec",0
"L_lutra","L. lutra","UH40","dailyRec",0
"M_foina","M. foina","UH40","GBIF",1
"M_foina","M. foina","UH40","NoVal",4
"M_foina","M. foina","UH40","seqRec",14
"M_foina","M. foina","UH40","dailyRec",6
"M_meles","M. meles","UH40","GBIF",0
"M_meles","M. meles","UH40","NoVal",5
"M_meles","M. meles","UH40","seqRec",1
"M_meles","M. meles","UH40","dailyRec",1
"M_nivalis","M. nivalis","UH40","GBIF",0
"M_nivalis","M. nivalis","UH40","NoVal",1
"M_nivalis","M. nivalis","UH40","seqRec",0
"M_nivalis","M. nivalis","UH40","dailyRec",0
"S_scrofa","S. scrofa","UH40","GBIF",6
"S_scrofa","S. scrofa","UH40","NoVal",9
"S_scrofa","S. scrofa","UH40","seqRec",2
"S_scrofa","S. scrofa","UH40","dailyRec",2
"C_elaphus","C. elaphus","UH40","GBIF",0
"C_elaphus","C. elaphus","UH40","NoVal",14
"C_elaphus","C. elaphus","UH40","seqRec",0
"C_elaphus","C. elaphus","UH40","dailyRec",0
"E_europaeus","E. europaeus","UH40","GBIF",0
"E_europaeus","E. europaeus","UH40","NoVal",0
"E_europaeus","E. europaeus","UH40","seqRec",0
"E_europaeus","E. europaeus","UH40","dailyRec",0
"M_putorius","M. putorius","UH40","GBIF",0
"M_putorius","M. putorius","UH40","NoVal",0
"M_putorius","M. putorius","UH40","seqRec",0
"M_putorius","M. putorius","UH40","dailyRec",0
"C_pynernaica","C. pynernaica","UH40","GBIF",0
"C_pynernaica","C. pynernaica","UH40","NoVal",0
"C_pynernaica","C. pynernaica","UH40","seqRec",0
"C_pynernaica","C. pynernaica","UH40","dailyRec",0
"S_vulgaris","S. vulgaris","UH40","GBIF",0
"S_vulgaris","S. vulgaris","UH40","NoVal",0
"S_vulgaris","S. vulgaris","UH40","seqRec",0
"S_vulgaris","S. vulgaris","UH40","dailyRec",0
"E_quercinus","E. quercinus","UH40","GBIF",0
"E_quercinus","E. quercinus","UH40","NoVal",0
"E_quercinus","E. quercinus","UH40","seqRec",0
"E_quercinus","E. quercinus","UH40","dailyRec",0
